id,ra,dec,d,d_err,vr,vt,m_abs,bp-rp,l,b,pmra,pmdec
2.01E+18,357.6808529,61.34836885,2961.7803,91.4697,-47.25106,-19.87562614,-2.845531201,-0.2367527,115.7193325,-0.6702578755,-1.828802563,-1.385266735
2.01E+18,358.312594,61.45801196,2875.659,215.8197,-98.69667,-29.90172141,-2.511273927,-0.2334905,116.0387761,-0.6325445034,-5.244329191,-1.864011333
2.01E+18,355.654682,61.74687497,2641.8123,204.0957,-31.41401,-14.8036423,-2.738299789,-0.2443574,114.8831159,-0.04470369081,-2.395144544,-0.06320885873
2.01E+18,355.7865897,60.79807237,2829.4272,189.0667,-49.46491,-15.18247847,-2.081816121,-0.2406213,114.6954329,-0.9769180778,-1.759885607,-0.7678433335
2.01E+18,355.7373199,60.82356266,2573.9814,140.257,-112.73278,-27.56702047,-2.519460021,-0.219107,114.6789099,-0.9460279791,-3.210973533,-1.72722221
2.01E+18,357.0608241,61.01449641,2700.74,191.1409,-83.396866,-15.84247173,-2.084452884,-0.2363428,115.3496284,-0.9235177039,-2.148143998,-1.072258796
2.01E+18,357.4471074,62.39256104,2666.12,116.0285,-55.783627,-23.16246046,-1.269168464,-0.232961,115.857369,0.3706190432,-1.977756104,-0.1912362554
2.01E+18,357.4095528,61.27542883,2700.6853,58.1441,-63.29061,-10.15023368,-2.692743903,-0.2342076,115.5755901,-0.7105387619,-1.640827567,-0.7859589099
2.01E+18,355.7876742,61.08365129,2578.4507,62.9431,-25.083717,-8.44558536,-2.667519161,-0.2450018,114.7705741,-0.7013992676,-3.249545414,-0.3714457595
2.01E+18,355.8181554,61.12171839,2801.0828,245.4788,-46.749622,-20.00595312,-2.519900734,-0.2510081,114.7947328,-0.6684977466,-1.421159732,-1.45274022
2.01E+18,357.9072072,62.07162911,2704.2444,315.0017,-104.21875,-19.92995424,-1.820860695,-0.2252427,115.9910188,0.008566065936,-2.032331142,-0.04238615228
2.01E+18,355.7285264,61.30026715,3399.5237,383.9297,-112.3852,-13.52972733,-2.319652366,-0.239797,114.7997615,-0.4848745305,-3.010566892,-0.7782746183
2.01E+18,358.3354927,62.23255672,2658.3054,337.8928,-68.37027,-31.2378772,-3.967298367,-0.4808015,116.2223225,0.1200165707,-2.80735844,0.1760141664
2.01E+18,358.8218658,62.21765189,3007.2263,270.5718,-47.419136,-36.51638693,-2.889026554,-0.32775376,116.4401702,0.05571757778,-2.013674334,-1.828306148
2.01E+18,354.2992015,61.00782516,2915.9998,312.4404,-54.98194,-31.56152745,-2.905804449,-0.2516079,114.0565434,-0.5781308016,-3.725506811,-1.989757434
2.02E+18,355.1700805,63.53493668,2712.739,281.0901,-35.077263,-14.38245571,-2.762216056,-0.25188,115.1457328,1.737925386,-1.303249351,0.3534734713
4.30E+17,0.09283060985,62.39282259,3000.9626,271.9409,-102.23238,-24.52320369,-4.617177915,-0.4384616,117.054285,0.10526332,-1.786338474,0.2469957143
4.30E+17,0.1972220081,62.54493732,3231.1526,146.6862,-54.436108,-60.46056332,-1.620589346,-0.15821144,117.1313997,0.2449794024,-3.830141589,-1.158792208
2.01E+18,359.2333805,60.2692286,3121.1467,160.4765,-39.26211,-39.20615741,-2.491259909,-0.2295652,116.2189221,-1.890194164,-2.669281435,-1.30229566
2.01E+18,359.544332,60.32693447,2553.7937,216.0953,-106.59713,-34.33303846,-1.081720056,-0.2326308,116.3817008,-1.865703024,-3.309009079,-0.4950656719
2.01E+18,359.1066209,60.83819862,2788.7314,129.6181,-70.59433,-12.2702865,-1.743095433,-0.3608882,116.2779152,-1.320867886,-1.594620307,-0.6270387424
2.01E+18,356.0352348,60.05233021,2640.0884,91.9353,-52.300064,-21.4970428,-2.223424345,-0.227731,114.6203945,-1.728956716,-0.4860804724,-1.628183023
2.01E+18,355.8118213,60.1473687,3044.6304,170.8313,-109.477165,-40.18579193,-2.531354897,-0.241141,114.5374509,-1.60828526,-2.780649613,-1.058472015
2.01E+18,356.3969145,60.27620158,3138.6213,115.1116,-107.077866,-26.63299532,-3.201795589,-0.2404756,114.8515707,-1.558374479,-1.987080333,-0.5881599926
2.01E+18,359.7230637,61.51324855,2841.6064,162.0936,-59.308197,-11.44421808,-0.8404906112,-0.2275748,116.7084583,-0.7219495768,-1.239596267,-0.7648899007
2.02E+18,354.6476156,62.70019253,2717.1418,227.6193,-55.90653,-29.37218327,-2.265182518,-0.2253338,114.6894016,1.000038456,-1.952998649,0.9789177765
